WBGeneID,intestine_dev_cluster
WBGene00019957,Post-embryonic
WBGene00019963,Embryonic
WBGene00019978,Post-embryonic
WBGene00019983,Post-embryonic
WBGene00020007,Embryonic
WBGene00020036,Post-embryonic
WBGene00020037,Adult
WBGene00020038,Post-embryonic
WBGene00020112,Adult
WBGene00020137,Embryonic
WBGene00020193,Adult
WBGene00020216,Post-embryonic
WBGene00020275,Post-embryonic
WBGene00020299,Embryonic
WBGene00020314,Adult
WBGene00020347,Post-embryonic
WBGene00020366,L1
WBGene00020378,Embryonic
WBGene00020383,Adult
WBGene00020389,Embryonic
WBGene00020417,Adult
WBGene00020471,Post-embryonic
WBGene00020500,Adult
WBGene00020511,Post-embryonic
WBGene00020517,Post-embryonic
WBGene00020549,Post-embryonic
WBGene00020557,Post-embryonic
WBGene00020576,Embryonic
WBGene00020633,Embryonic
WBGene00020647,Adult
WBGene00020662,Post-embryonic
WBGene00020687,Adult
WBGene00020703,L1
WBGene00020709,Adult
WBGene00020718,Adult
WBGene00020736,Embryonic
WBGene00020738,Embryonic
WBGene00020812,L1
WBGene00020847,Post-embryonic
WBGene00020867,Embryonic
WBGene00020909,Post-embryonic
WBGene00020954,Post-embryonic
WBGene00020994,Embryonic
WBGene00021024,Embryonic
WBGene00021026,Post-embryonic
WBGene00021074,Adult
WBGene00021128,Post-embryonic
WBGene00021149,Embryonic
WBGene00022412,Embryonic
WBGene00022415,Embryonic
WBGene00022455,Post-embryonic
WBGene00022456,Adult
WBGene00022470,Embryonic
WBGene00022490,Post-embryonic
WBGene00022497,Post-embryonic
WBGene00044026,Post-embryonic
WBGene00044206,Post-embryonic
WBGene00044330,Embryonic
WBGene00044767,Embryonic
WBGene00000178,Adult
WBGene00000179,Adult
WBGene00000536,Post-embryonic
WBGene00000765,Adult
WBGene00000812,Embryonic
WBGene00000830,Embryonic
WBGene00000831,Embryonic
WBGene00000835,Embryonic
WBGene00000879,L1
WBGene00000883,Post-embryonic
WBGene00000973,L1
WBGene00001088,Embryonic
WBGene00001224,Embryonic
WBGene00001758,Post-embryonic
WBGene00001768,Embryonic
WBGene00001776,Post-embryonic
WBGene00001793,Post-embryonic
WBGene00002016,L1
WBGene00002269,Post-embryonic
WBGene00002981,Embryonic
WBGene00003022,Adult
WBGene00003161,Adult
WBGene00003164,Adult
WBGene00003652,Embryonic
WBGene00003660,Embryonic
WBGene00003676,Embryonic
WBGene00003704,Post-embryonic
WBGene00003712,Embryonic
WBGene00003773,Embryonic
WBGene00003806,Adult
WBGene00003928,Post-embryonic
WBGene00003941,Embryonic
WBGene00003949,Post-embryonic
WBGene00003956,L1
WBGene00004024,L1
WBGene00004053,Embryonic
WBGene00004164,Embryonic
WBGene00004192,Post-embryonic
WBGene00004320,Adult
WBGene00004449,Post-embryonic
WBGene00004468,Adult
WBGene00004810,Post-embryonic
WBGene00004891,Embryonic
WBGene00004919,Embryonic
WBGene00004981,Post-embryonic
WBGene00005077,Embryonic
WBGene00006367,Embryonic
WBGene00006396,Embryonic
WBGene00006410,Embryonic
WBGene00006565,Post-embryonic
WBGene00006590,Adult
WBGene00006755,Embryonic
WBGene00006918,Embryonic
WBGene00006936,Post-embryonic
WBGene00007000,Embryonic
WBGene00007022,Adult
WBGene00012554,Embryonic
WBGene00012583,Post-embryonic
WBGene00012608,Post-embryonic
WBGene00012646,Embryonic
WBGene00012652,Post-embryonic
WBGene00012668,Embryonic
WBGene00012722,Post-embryonic
WBGene00012747,Post-embryonic
WBGene00012762,Adult
WBGene00012766,Post-embryonic
WBGene00012768,Post-embryonic
WBGene00012780,Embryonic
WBGene00012782,Post-embryonic
WBGene00012803,Post-embryonic
WBGene00012823,Embryonic
WBGene00012825,Embryonic
WBGene00012829,Embryonic
WBGene00012830,Adult
WBGene00012834,Post-embryonic
