 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
29,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_03_C2,28.719,129.447,124,140,3717.579,323618.000
30,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_03_C2,28.719,128.523,124,139,3691.043,321308.000
31,ELT2rnai:intestine:MAX_ELT2gfp_ELT2rnai_worm_04_C1,1214.453,244.996,154,461,297535.671,25900697.000
32,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_04_C1,28.719,123.785,115,140,3554.962,309462.000
33,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_04_C1,28.719,114.714,111,122,3294.447,286784.000
34,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_04_C1,28.719,118.228,113,130,3395.388,295571.000
35,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_04_C1,28.719,111.885,108,118,3213.218,279713.000
36,ELT2rnai:intestine:MAX_ELT2gfp_ELT2rnai_worm_04_C2,1214.453,310.807,173,1201,377459.965,32858165.000
37,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_04_C2,28.719,147.962,137,163,4249.292,369904.000
38,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_04_C2,28.719,138.366,132,150,3973.729,345916.000
39,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_04_C2,28.719,143.005,133,156,4106.939,357512.000
40,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_04_C2,28.719,134.090,128,144,3850.927,335226.000
41,ELT2rnai:intestine:MAX_ELT2gfp_ELT2rnai_worm_05_C1,1240.013,257.408,152,945,319189.195,27785652.000
42,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_05_C1,28.719,116.788,112,126,3354.021,291970.000
43,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_05_C1,28.719,115.090,111,123,3305.268,287726.000
44,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_05_C1,28.719,117.720,112,129,3380.787,294300.000
45,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_05_C1,28.719,112.443,108,120,3229.232,281107.000
46,ELT2rnai:intestine:MAX_ELT2gfp_ELT2rnai_worm_05_C2,1240.013,281.445,157,985,348995.953,30380352.000
47,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_05_C2,28.719,143.518,135,155,4121.689,358796.000
48,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_05_C2,28.719,142.102,134,156,4081.000,355254.000
49,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_05_C2,28.719,143.907,134,156,4132.843,359767.000
50,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_05_C2,28.719,136.416,129,147,3917.704,341039.000
51,ELT2rnai:intestine:MAX_ELT2gfp_ELT2rnai_worm_06_C1,972.238,245.582,148,1103,238763.894,20784571.000
52,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_06_C1,28.719,114.455,110,121,3287.026,286138.000
53,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_06_C1,28.719,111.706,107,119,3208.060,279264.000
54,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_06_C1,28.719,115.100,111,122,3305.544,287750.000
55,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_06_C1,28.719,117.552,111,129,3375.974,293881.000
56,ELT2rnai:intestine:MAX_ELT2gfp_ELT2rnai_worm_06_C2,972.238,308.788,168,1767,300215.454,26133974.000
57,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_06_C2,28.719,140.986,133,154,4048.949,352464.000
58,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_06_C2,28.719,136.417,128,148,3917.750,341043.000
59,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_06_C2,28.719,140.197,132,154,4026.296,350492.000
60,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_06_C2,28.719,147.048,136,162,4223.055,367620.000
61,ELT2rnai:intestine:MAX_ELT2gfp_ELT2rnai_worm_07_C1,923.737,246.533,164,625,227731.982,19824235.000
62,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_07_C1,28.719,113.819,109,125,3268.761,284548.000
63,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_07_C1,28.719,112.671,109,122,3235.791,281678.000
64,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_07_C1,28.719,118.390,113,129,3400.017,295974.000
65,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_07_C1,28.719,114.764,110,123,3295.883,286909.000
66,ELT2rnai:intestine:MAX_ELT2gfp_ELT2rnai_worm_07_C2,923.737,343.319,165,2057,317136.679,27606979.000
67,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_07_C2,28.719,136.576,130,148,3922.299,341439.000
68,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_07_C2,28.719,135.984,128,149,3905.298,339959.000
69,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_07_C2,28.719,141.754,133,155,4071.006,354384.000
70,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_07_C2,28.719,139.242,131,151,3998.887,348106.000
71,ELT2rnai:intestine:MAX_ELT2gfp_ELT2rnai_worm_08_C1,1135.717,261.716,152,810,297235.536,25874570.000
72,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_08_C1,28.719,119.998,113,131,3446.209,299995.000
73,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_08_C1,28.719,121.958,114,136,3502.498,304895.000
74,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_08_C1,28.719,112.894,109,120,3242.201,282236.000
75,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_08_C1,28.719,121.833,114,134,3498.914,304583.000
76,ELT2rnai:intestine:MAX_ELT2gfp_ELT2rnai_worm_08_C2,1135.717,289.243,158,1639,328498.135,28596002.000
77,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_08_C2,28.719,143.082,134,157,4109.167,357706.000
78,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_08_C2,28.719,142.656,132,156,4096.933,356641.000
79,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_08_C2,28.719,135.458,128,150,3890.191,338644.000
80,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_08_C2,28.719,144.439,133,163,4148.122,361097.000
81,ELT2rnai:intestine:MAX_ELT2gfp_ELT2rnai_worm_09_C1,1202.632,265.897,150,1189,319776.278,27836758.000
82,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_09_C1,28.719,115.821,111,124,3326.256,289553.000
83,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_09_C1,28.719,115.106,110,124,3305.705,287764.000
84,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_09_C1,28.719,116.036,111,127,3332.413,290089.000
85,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_09_C1,28.719,119.420,114,130,3429.609,298550.000
86,ELT2rnai:intestine:MAX_ELT2gfp_ELT2rnai_worm_09_C2,1202.632,318.380,162,1214,382893.613,33331168.000
87,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_09_C2,28.719,139.522,131,151,4006.916,348805.000
88,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_09_C2,28.719,138.859,132,150,3987.870,347147.000
89,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_09_C2,28.719,137.484,129,151,3948.399,343711.000
90,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_09_C2,28.719,143.573,134,157,4123.251,358932.000
91,ELT2rnai:intestine:MAX_ELT2gfp_ELT2rnai_worm_10_C1,1438.632,274.387,148,1140,394742.600,34362631.000
92,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_10_C1,28.719,119.151,114,128,3421.878,297877.000
93,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_10_C1,28.719,114.500,110,125,3288.313,286250.000
94,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_10_C1,28.719,115.526,111,123,3317.767,288814.000
95,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_10_C1,28.719,121.918,115,133,3501.349,304795.000
96,ELT2rnai:intestine:MAX_ELT2gfp_ELT2rnai_worm_10_C2,1438.632,275.967,159,1100,397014.678,34560417.000
97,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_10_C2,28.719,143.207,135,155,4112.751,358018.000
98,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_10_C2,28.719,135.952,129,148,3904.379,339879.000
99,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_10_C2,28.719,138.968,131,152,3991.006,347420.000
100,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_10_C2,28.719,148.964,140,164,4278.069,372409.000
101,ELT2rnai:intestine:MAX_ELT2gfp_ELT2rnai_worm_11_C1,1390.270,207.049,133,637,287854.362,25057932.000
102,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_11_C1,28.719,119.247,113,131,3424.635,298117.000
103,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_11_C1,28.719,118.227,113,129,3395.354,295568.000
104,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_11_C1,28.719,140.103,127,160,4023.596,350257.000
105,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_11_C1,28.719,116.133,111,124,3335.205,290332.000
106,ELT2rnai:intestine:MAX_ELT2gfp_ELT2rnai_worm_11_C2,1390.270,230.972,151,746,321113.050,27953125.000
107,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_11_C2,28.719,143.002,133,160,4106.870,357506.000
108,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_11_C2,28.719,144.578,134,160,4152.119,361445.000
109,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_11_C2,28.719,171.467,157,190,4924.347,428668.000
110,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_11_C2,28.719,139.160,132,151,3996.532,347901.000
111,ELT2rnai:intestine:MAX_ELT2gfp_ELT2rnai_worm_12_C1,1178.347,252.467,140,993,297493.615,25897036.000
112,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_12_C1,28.719,124.237,115,138,3567.954,310593.000
113,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_12_C1,28.719,112.765,109,120,3238.479,281912.000
114,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_12_C1,28.719,117.245,112,126,3367.152,293113.000
115,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_12_C1,28.719,116.356,112,124,3341.603,290889.000
116,ELT2rnai:intestine:MAX_ELT2gfp_ELT2rnai_worm_12_C2,1178.347,314.589,156,1536,370694.818,32269254.000
117,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_12_C2,28.719,143.909,134,161,4132.912,359773.000
118,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_12_C2,28.719,135.017,127,147,3877.544,337543.000
119,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_12_C2,28.719,140.668,132,154,4039.840,351671.000
120,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_12_C2,28.719,139.639,132,153,4010.271,349097.000
121,ELT2rnai:intestine:MAX_ELT2gfp_ELT2rnai_worm_13_C1,1121.714,229.603,119,462,257548.551,22419789.000
122,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_13_C1,28.719,116.197,111,124,3337.054,290493.000
123,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_13_C1,28.719,115.183,111,123,3307.922,287957.000
124,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_13_C1,28.719,114.340,110,123,3283.729,285851.000
125,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_13_C1,28.719,113.979,110,121,3273.356,284948.000
126,ELT2rnai:intestine:MAX_ELT2gfp_ELT2rnai_worm_13_C2,1121.714,301.906,134,1118,338652.076,29479910.000
127,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_13_C2,28.719,141.373,133,155,4060.081,353433.000
128,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_13_C2,28.719,139.848,132,155,4016.267,349619.000
129,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_13_C2,28.719,136.789,129,155,3928.434,341973.000
130,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_13_C2,28.719,136.505,129,149,3920.266,341262.000
131,ELT2rnai:intestine:MAX_ELT2gfp_ELT2rnai_worm_14_C1,1064.437,265.513,162,623,282621.735,24602428.000
132,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_14_C1,28.719,118.294,112,128,3397.272,295735.000
133,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_14_C1,28.719,115.501,111,124,3317.054,288752.000
134,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_14_C1,28.719,121.789,114,134,3497.650,304473.000
135,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_14_C1,28.719,121.366,113,133,3485.496,303415.000
136,ELT2rnai:intestine:MAX_ELT2gfp_ELT2rnai_worm_14_C2,1064.437,316.708,160,1104,337115.983,29346192.000
137,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_14_C2,28.719,143.232,135,157,4113.464,358080.000
138,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_14_C2,28.719,140.269,133,154,4028.375,350673.000
139,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_14_C2,28.719,145.145,136,160,4168.397,362862.000
140,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_14_C2,28.719,140.887,132,155,4046.124,352218.000
141,ELT2rnai:intestine:MAX_ELT2gfp_ELT2rnai_worm_15_C1,1135.602,290.182,166,1161,329531.590,28685965.000
142,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_15_C1,28.719,115.926,111,124,3329.277,289816.000
143,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_15_C1,28.719,113.944,110,123,3272.333,284859.000
144,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_15_C1,28.719,115.759,111,125,3324.464,289397.000
145,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_15_C1,28.719,115.247,111,124,3309.771,288118.000
146,ELT2rnai:intestine:MAX_ELT2gfp_ELT2rnai_worm_15_C2,1135.602,297.547,170,1275,337894.725,29413982.000
147,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_15_C2,28.719,139.704,132,167,4012.155,349261.000
148,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_15_C2,28.719,137.840,129,149,3958.600,344599.000
149,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_15_C2,28.719,137.774,131,147,3956.704,344434.000
150,ELT2rnai:background:MAX_ELT2gfp_ELT2rnai_worm_15_C2,28.719,138.280,131,151,3971.259,345701.000
151,ELT2rnai:intestine:MAX_ELT2gfp_ELT2rnai_worm_16_C1,861.360,273.388,159,910,235485.840,20499214.000
