 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
157,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_07_R3D.tif:background09:1,25.376,129.666,123,140,3290.403,286432.000
158,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_07_R3D.tif:background09:2,25.376,110.439,107,117,2802.492,243959.000
159,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_07_R3D.tif:worm07:1,826.346,330.366,203,1368,272996.566,23764550.000
160,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_07_R3D.tif:worm07:2,826.346,114.673,108,146,94759.804,8248910.000
161,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_05_R3D.tif:background05:1,25.376,140.484,130,155,3564.933,310330.000
162,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_05_R3D.tif:background05:2,25.376,110.888,107,117,2813.899,244952.000
163,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_05_R3D.tif:background05:1,25.376,146.809,134,164,3725.437,324302.000
164,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_05_R3D.tif:background05:2,25.376,111.163,107,117,2820.872,245559.000
165,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_05_R3D.tif:background05:1,25.376,134.632,127,147,3416.433,297403.000
166,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_05_R3D.tif:background05:2,25.376,110.287,107,117,2798.655,243625.000
167,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_05_R3D.tif:background05:1,25.376,134.923,127,146,3423.797,298044.000
168,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_05_R3D.tif:background05:2,25.376,110.613,107,116,2806.915,244344.000
169,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_05_R3D.tif:worm05:1,1509.063,582.706,364,1938,879339.095,76547109.000
170,MAX_CEBP1gfp_L4440rnai_Rep3_Azide60X_05_R3D.tif:worm05:2,1509.063,128.071,108,265,193266.630,16824001.000
