WBGeneID,SYMBOL,elt2_detected_in_L1,dineen_set,cluster.description,bound_class
WBGene00009237,F28H7.3,Direct,SET6,Increasing,ClassA
WBGene00009239,irld-6,Indirect,SET6,Not_Bound,NA
WBGene00009240,F28H7.7,Indirect,SET2,Not_Bound,NA
WBGene00009242,sre-6,Direct,SET6,Larval,ClassA
WBGene00009247,bath-45,Indirect,SET2,Not_Bound,NA
WBGene00009257,F29G6.1,Direct,SET6,Increasing,ClassA
WBGene00009258,ccdc-149,Indirect,SET6,Larval,NA
WBGene00009259,hpo-34,Direct,SET3,Increasing,ClassC
WBGene00009259,hpo-34,Direct,SET3,Increasing,ClassC
WBGene00009259,hpo-34,Direct,SET3,Larval,ClassC
WBGene00009259,hpo-34,Direct,SET3,Increasing,ClassC
WBGene00009259,hpo-34,Direct,SET3,Increasing,ClassC
WBGene00009270,F30F8.1,Indirect,SET2,Not_Bound,NA
WBGene00009271,glna-3,Indirect,SET6,Not_Bound,NA
WBGene00009280,F31B9.3,Indirect,SET2,Not_Bound,NA
WBGene00009291,clec-264,Direct,SET6,Increasing,ClassA
WBGene00009293,F31D4.8,Direct,SET2,Increasing,ClassD
WBGene00009293,F31D4.8,Direct,SET2,Not_Changing,ClassD
WBGene00009332,F32D8.8,Indirect,SET6,Not_Bound,NA
WBGene00009337,uig-1,Direct,SET2,Larval,ClassD
WBGene00009337,uig-1,Direct,SET2,Increasing,ClassD
WBGene00009337,uig-1,Direct,SET2,Increasing,ClassD
WBGene00009342,fasn-1,Indirect,SET6,Not_Bound,NA
WBGene00009347,F32H5.1,Direct,SET6,Larval,ClassA
WBGene00009383,F35B12.3,Indirect,SET1,Not_Bound,NA
WBGene00009384,piit-1,Indirect,SET2,Not_Bound,NA
WBGene00009385,sas-5,Direct,SET2,L3_High,ClassD
WBGene00009387,glb-15,Indirect,SET6,Not_Bound,NA
WBGene00009388,F35B12.9,Indirect,SET6,Not_Bound,NA
WBGene00009389,F35B12.10,Direct,SET3,Increasing,ClassB
WBGene00009389,F35B12.10,Direct,SET3,Increasing,ClassB
WBGene00009389,F35B12.10,Direct,SET3,Larval,ClassB
WBGene00009393,clec-62,Direct,SET3,Increasing,ClassC
WBGene00009394,clec-63,Direct,SET3,Increasing,ClassB
WBGene00009394,clec-63,Direct,SET3,Larval,ClassB
WBGene00009396,clec-65,Indirect,SET4,Increasing,NA
WBGene00009397,clec-66,Indirect,SET3,Increasing,NA
WBGene00009403,F35C11.4,Direct,SET2,Increasing,ClassC
WBGene00009405,F35C11.6,Indirect,SET6,Not_Bound,NA
WBGene00009423,F35E8.10,Indirect,SET2,Not_Bound,NA
WBGene00009423,F35E8.13,Indirect,SET2,Not_Bound,NA
WBGene00009429,irg-5,Direct,SET1,Increasing,ClassD
WBGene00009431,dct-17,Indirect,SET1,Increasing,NA
WBGene00009432,cld-9,Direct,SET2,Increasing,ClassC
WBGene00009433,F35E12.9,Direct,SET2,Increasing,ClassC
WBGene00009433,F35E12.9,Direct,SET2,Increasing,ClassC
WBGene00009434,F35E12.10,Indirect,SET2,Larval,NA
WBGene00009438,F35G2.5,Indirect,SET6,Not_Bound,NA
WBGene00009442,F35G12.5,Indirect,SET2,Not_Bound,NA
WBGene00009481,F36F2.8,Indirect,SET6,Not_Bound,NA
WBGene00009483,F36G3.2,Direct,SET3,Larval,ClassB
WBGene00009483,F36G3.2,Direct,SET3,L3_High,ClassB
WBGene00009486,F36G9.7,Indirect,SET6,Not_Bound,NA
WBGene00009488,oac-20,Direct,SET6,Larval,ClassA
WBGene00009490,fbxa-99,Indirect,SET6,Not_Bound,NA
WBGene00009493,hrg-4,Indirect,SET6,Not_Bound,NA
WBGene00009505,F37B12.3,Indirect,SET3,Not_Bound,NA
WBGene00009512,bigr-1,Indirect,SET1,Increasing,NA
WBGene00009512,bigr-1,Indirect,SET1,L3_High,NA
WBGene00009512,bigr-1,Indirect,SET1,Increasing,NA
WBGene00009514,F37H8.5,Indirect,SET2,Not_Bound,NA
WBGene00009515,clec-170,Direct,SET6,Increasing,ClassA
WBGene00009517,clec-167,Indirect,SET3,Larval,NA
WBGene00009518,clec-166,Indirect,SET6,Increasing,NA
WBGene00009522,F38A1.9,Indirect,SET3,Not_Bound,NA
WBGene00009523,clec-165,Indirect,SET3,Larval,NA
WBGene00009530,F38B2.3,Indirect,SET2,Not_Bound,NA
WBGene00009560,psa-3,Direct,SET6,Increasing,ClassA
WBGene00009563,F39H2.3,Indirect,SET2,Not_Bound,NA
WBGene00009571,F40D4.12,Direct,SET6,Increasing,ClassA
WBGene00009595,cbp-3,Direct,SET3,Larval,ClassC
WBGene00009595,cbp-3,Direct,SET3,Larval,ClassC
WBGene00009595,cbp-3,Direct,SET3,Increasing,ClassC
WBGene00009596,sre-8,Indirect,SET6,Not_Bound,NA
WBGene00009601,F40G12.6,Indirect,SET6,Not_Bound,NA
WBGene00009623,F41E7.7,Indirect,SET6,Not_Bound,NA
WBGene00009626,F42A8.1,Indirect,SET6,Not_Bound,NA
WBGene00009636,F42F12.4,Indirect,SET6,Increasing,NA
WBGene00009638,nspc-14,Indirect,SET6,Not_Bound,NA
WBGene00009686,ent-7,Indirect,SET6,L3_High,NA
WBGene00009700,lurp-1,Indirect,SET6,Not_Bound,NA
WBGene00009701,egg-3,Indirect,SET1,Not_Bound,NA
WBGene00009723,F45D3.3,Indirect,SET6,Not_Bound,NA
WBGene00009731,exo-1,Indirect,SET2,Not_Bound,NA
WBGene00009773,lipl-2,Direct,SET6,Larval,ClassA
WBGene00009773,lipl-2,Direct,SET6,Increasing,ClassA
WBGene00009777,F46C3.2,Direct,SET4,Increasing,ClassB
WBGene00009785,F46C5.10,Indirect,SET6,Not_Bound,NA
WBGene00009798,F46G10.4,Direct,SET3,Increasing,ClassC
WBGene00009805,F47B8.4,Indirect,SET3,Increasing,NA
WBGene00009807,pepm-1,Indirect,SET6,Not_Bound,NA
WBGene00009835,F47H4.2,Direct,SET4,L3_High,ClassB
WBGene00009836,fbxa-185,Direct,SET6,Increasing,ClassA
WBGene00009836,fbxa-185,Direct,SET6,Larval,ClassA
WBGene00009836,fbxa-185,Direct,SET6,Increasing,ClassA
WBGene00009843,F48C5.2,Indirect,SET6,L3_High,NA
WBGene00009844,cwp-5,Indirect,SET2,Not_Bound,NA
WBGene00009854,clec-31,Direct,SET6,Larval,ClassA
WBGene00009854,clec-31,Direct,SET6,Increasing,ClassA
WBGene00009856,clec-24,Indirect,SET3,Not_Bound,NA
WBGene00009857,clec-28,Indirect,SET6,Not_Bound,NA
WBGene00009859,clec-33,Indirect,SET6,Increasing,NA
WBGene00009865,F49B2.6,Indirect,SET2,Not_Bound,NA
WBGene00009877,F49C12.7,Direct,SET6,Increasing,ClassA
WBGene00009883,F49C12.14,Indirect,SET6,Increasing,NA
WBGene00009885,F49E2.1,Indirect,SET2,Not_Bound,NA
WBGene00009886,F49E2.2,Direct,SET2,Larval,ClassC
WBGene00009886,F49E2.2,Direct,SET2,Increasing,ClassC
WBGene00009887,glb-17,Indirect,SET6,Not_Bound,NA
WBGene00009895,scl-2,Direct,SET6,Larval,ClassA
WBGene00009895,scl-2,Direct,SET6,Increasing,ClassA
WBGene00009897,skpo-1,Direct,SET3,Increasing,ClassC
